question,contexts,ground_truth,answer
Что такое обычный  режим проверки в  дозор?,"['\n            При первом запуске программы на каждом компьютере необходимо настроить параметры и расписание проверки. В дальнейшем эти параметры можно изменять только в случае необходимости. \n            Для настройки параметров необходимо в главном окне программы нажать «Настройки». После чего откроется окно настроек.\n            В окне настроек необходимо выбрать один из режимов проверки (по умолчанию - медленный):\n            •\tМедленный – проверка сайтов будет происходить поочередно, время проверки увеличится, нагрузка на сеть и компьютер уменьшится.\n            •\tОбычный – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов зависит от количества физических ядер процессора), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.\n            •\tБыстрый – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов равно количеству ядер процессора, умноженному на 4), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.\n\n        ']","
                •	Обычный – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов зависит от количества физических ядер процессора), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.
        ","Обычный режим проверки в Дозоре - это режим, в котором пользователь открывает файл обработки через меню ""Файл"", команда ""Открыть""."
Чем медленный режим отличается от быстрого? В дозор? ,"['\n            При первом запуске программы на каждом компьютере необходимо настроить параметры и расписание проверки. В дальнейшем эти параметры можно изменять только в случае необходимости. \n            Для настройки параметров необходимо в главном окне программы нажать «Настройки». После чего откроется окно настроек.\n            В окне настроек необходимо выбрать один из режимов проверки (по умолчанию - медленный):\n            •\tМедленный – проверка сайтов будет происходить поочередно, время проверки увеличится, нагрузка на сеть и компьютер уменьшится.\n            •\tОбычный – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов зависит от количества физических ядер процессора), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.\n            •\tБыстрый – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов равно количеству ядер процессора, умноженному на 4), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.\n\n        ']","
               При медленном режиме – проверка сайтов будет происходить поочередно, время проверки увеличится, нагрузка на сеть и компьютер уменьшится,
               В обычном режиме проверка будет происходить по нескольким сайтам одновременно это уменьшит время проверки, но увлеичит нагрузку на сеть компьютера.
        ","Медленный режим отличается от быстрого в том, что в медленном режиме проверка сайтов будет происходить поочередно, время проверки увеличится, нагрузка на сеть и компьютер уменьшится, в то время как в быстром режиме проверка будет происходить по нескольким сайтам одновременно, время проверки уменьшится, нагрузка на сеть и компьютер увеличится."
Почему при быстром режиме проверки в дозор возрастает нагрузка на сервер?,"['\n            При первом запуске программы на каждом компьютере необходимо настроить параметры и расписание проверки. В дальнейшем эти параметры можно изменять только в случае необходимости. \n            Для настройки параметров необходимо в главном окне программы нажать «Настройки». После чего откроется окно настроек.\n            В окне настроек необходимо выбрать один из режимов проверки (по умолчанию - медленный):\n            •\tМедленный – проверка сайтов будет происходить поочередно, время проверки увеличится, нагрузка на сеть и компьютер уменьшится.\n            •\tОбычный – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов зависит от количества физических ядер процессора), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.\n            •\tБыстрый – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов равно количеству ядер процессора, умноженному на 4), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.\n\n        ']","
               	Быстрый – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов равно количеству ядер процессора, умноженному на 4), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.
                Если хотите уменьшить нагрузку на сеть, выберете обычный или медленный режим.
        ","При быстром режиме проверки нагрузка на сервер возрастает из-за того, что проверка сайтов происходит параллельно, что требует больше ресурсов сервера и сети."
Какие параметры настройки  проверки проверки доступа к запрещённым сайтам есть в Дозор ?,"['\n            o\tПроверка наличия доступа к интернет-ресурсам, содержащим информацию, запрещённую к распространению в образовательных организациях (далее – «запрещённые интернет-ресурсы»), с текущей рабочей станции.\n            o\tНастройка параметров проверки:\n            \uf0a7\tРасписание проверки: временные интервалы проверки в течение дня, периодичность повторных проверок.\n            \uf0a7\tСкорость проверки: низкая, средняя, высокая.\n            \uf0a7\tЗадержка между проверками сайтов (в секундах).\n            o\tЕсли проверка была прервана (например, рабочая станция была выключена до окончания проверки доступности всех интернет-ресурсов из списка), при следующем запуске проверка возобновляется с той позиции в списке, на которой был прерван предыдущий сеанс.\n        ']","
        Вы можете настраивать Расписание проверки, Скорость проверки: низкая, средняя, высокая. Задержку между проверками сайтов (в секундах).
        ","Параметры настройки проверки доступа к запрещенным сайтам в Дозор включают в себя:
- Расписание проверки: временные интервалы проверки в течение дня, периодичность повторных проверок.
- Скорость проверки: низкая, средняя, высокая.
- Задержка между проверками сайтов (в секундах).
- Возможность автоматического обновления перечня запрещенных интернет-ресурсов.
- Формирование сводного и детализированного отчета о результатах проверки доступа к запрещенным интернет-ресурсам."
"У меня прервалась проверка запрещенных сайтов в дозор, как мне восстановить работу ?","['\n            o\tЕсли проверка была прервана (например, рабочая станция была выключена до окончания проверки доступности всех интернет-ресурсов из списка), при следующем запуске проверка возобновляется с той позиции в списке, на которой был прерван предыдущий сеанс.\n        ']","
        Просто запустите проверку повторно. При следующем запуске проверка возобновляется с той позиции в списке, на которой был прерван предыдущий сеанс.
        ","Для восстановления работы проверки запрещенных сайтов в Дозоре необходимо выполнить активацию программы, указав путь к файлу с действительной лицензией. Это делается в окне ""Настройки"", перейдя в которое из главного окна программы. После выбора файла-лицензии и соблюдения всех шагов инструкции, активация завершится успешно, и вы сможете продолжить работу."
 Я смогу выгружать отчет по пользователю в Дозор?,"['\n            •\tМодуль проверки ПО на доверие: \n            o\tВыгрузка отчетности по ПО, установленному на персональном компьютере пользователя, в формате CSV.\n        ']","
        Да! Вы можете выгружать отчетности по ПО, установленному на персональном компьютере пользователя, в формате CSV
        ","Да, вы сможете выгружать отчет по пользователю в программе ""Дозор"". Отчет о результатах проверки запрещенных сайтов формируется в окне ""Отчет"", куда можно перейти по кнопке ""Отчет"" во вкладке ""Запрещенные сайты"" программы. Для сохранения отчета необходимо нажать на кнопку ""Сохранить"" и выбрать формат сохранения (XLSX или CSV). Сохраненный файл можно открыть в текстовом редакторе или программе Excel."
 Как посмотреть в дозор колчество недоступных сайтов ?,"['\n            •\tВо вкладке «Запрещенные сайты» (рисунок 9) предоставляется информация о проверке запрещённых сайтов. Отображаются показатели:\n                o\tОбщее количество сайтов в списке.\n                o\tКоличество сайтов из списка, проверенных в текущем сеансе проверки.\n                o\tКоличество сайтов, проверенных в текущем сеансе и определённых как недоступные.\n                o\tПроцент недоступных сайтов из общего количества сайтов, проверенных в текущем сеансе.\n\n        ']","
        Во вкладке «Запрещенные сайты» (рисунок 9) предоставляется информация о проверке запрещённых сайтов.  В том числе информаци о 
        Количестве сайтов, проверенных в текущем сеансе и определённых как недоступные.
        ","Для просмотра количества недоступных сайтов необходимо использовать модуль проверки доступа к запрещённым сайтам в программном продукте ""Дозор. Мониторинг систем безопасности рабочей станции"". В этом модуле можно настроить параметры проверки, посмотреть сводный отчёт об общем количестве ресурсов в перечне, количестве проверенных ресурсов и количестве доступных интернет-ресурсов из перечня. Детализированный отчёт будет содержать перечень всех запрещённых интернет-ресурсов с информацией о их доступности. Отчёт можно сохранить в формате CSV для дальнейшего анализа."
 Где в дозор посмотреть список неизветного ПО устновленного на ПК?,"['\n            •\tВкладка «Программное обеспечение» (рисунок 10) предоставляет информацию по проверке ПО, установленного на рабочей станции. Проверка происходит путем сверки ПО клиента и информационной базой ПО, предоставляемой пользователю с ПП. Модуль предоставляет следующую информацию о ПО:\n            o\tСписок неизвестного ПО, установленного на ПК.\n\n        ']","
        Вкладка  «Программное обеспечение» редоставляет информацию по проверке ПО, установленного на рабочей станции. Проверка происходит путем сверки ПО клиента и информационной базой ПО, предоставляемой пользователю с ПП. 
        ","Для просмотра списка неизвестного ПО, установленного на ПК, необходимо перейти в модуль ""проверки программного обеспечения (ПО) на доверие"" в программе ""Дозор. Мониторинг систем безопасности рабочей станции"". В этом модуле будет отображаться список установленного ПО на компьютере пользователя с известной информацией о них из базы ПП, а также будет возможность отправить скорректированную запись ПО на рассмотрение оператору для внесения изменений."
 Как установить Дозор ?,['\n           Дистрибутив ПП представляет собой файл:\n            •\tДля Linux: Dozor.1.0.0.rpm (для Alt Linux) или Dozor.1.0.0.deb (для Astra Linux) инсталляционный пакет ПП. \n            •\tДля Windows: Dozor_setup_1.0.0.0.exe - инсталляционный пакет ПП. \n            Вместо фрагмента «1.0.0.0» могут стоять другие цифры — они соответствуют номеру релиза ПП.\n            Порядок установки:\n            1.\tЗапустить инсталляционный пакет ПП. При запуске произойдёт стандартный запрос прав администратора. \n\n        '],"
        Запустить инсталляционный пакет ПП. 
        Для Linux: Dozor.1.0.0.rpm (для Alt Linux) или Dozor.1.0.0.deb (для Astra Linux) инсталляционный пакет ПП.
        Для Windows: Dozor_setup_1.0.0.0.exe - инсталляционный пакет ПП. 
        Вместо фрагмента «1.0.0.0» могут стоять другие цифры — они соответствуют номеру релиза ПП.
        
        При запуске произойдёт стандартный запрос прав администратора. 
        ","Для установки программы ""Дозор. Мониторинг систем безопасности рабочей станции"" необходимо выполнить следующие шаги:
1. Убедитесь, что компьютер соответствует требованиям к программе.
2. Запустите установочный файл программы.
3. Следуйте инструкциям мастера установки, указывая необходимые параметры и выбирая папку для установки.
4. После завершения установки, запустите программу и выполните настройку в соответствии с вашими потребностями.

Если у вас возникнут проблемы или вопросы по установке, обратитесь к руководству пользователя или технической поддержке программы."
 Как активировать лицензию Дозор ?,"['\n       1.1\tЗапуск и активация программного продукта на Windows\n        После установки ПП на компьютер – рабочую станцию, необходимо запустить ПП.\n        Запуск ПП осуществляется с помощью файла запуска:\n        После запуска отобразится окно с модулями программы и рабочими данными в них, при условии, что уже был указан путь к действительной лицензии ПП. В ином случае необходимо выполнить активацию ПП, указав путь к файлу с действительной лицензией. \n        Активация выполняется в окне «Настройки», переход в которое осуществляется из главного окна ПП (рисунок 5).\n        При нажатии кнопки «Настройки» откроется окно «Настройки» (рисунок 6).\n        В окне «Настройки» необходимо перейти на вкладку «Активация» и нажать кнопку «Открыть» (рисунок 7).\n        После нажатия кнопки «Открыть», откроется окно выбора файла (рисунок 8), здесь необходимо выбрать файл-лицензию, выданную продавцом. \n        При соблюдении всех шагов данной инструкции, активация завершится успешно, и вы сможете приступить к работе. \n\n        ']","
        1. После установки ПП на компьютер – рабочую станцию, необходимо запустить ПП.
        2. После запуска отобразится окно с модулями программы и рабочими данными в них, при условии, что уже был указан путь к действительной лицензии ПП. В ином случае необходимо выполнить активацию ПП, указав путь к файлу с действительной лицензией. 
        
        Как указать путь к лиценции:
        1. Перейдите в окно «Настройки», переход в которое осуществляется из главного окна ПП. 
        2. В окне «Настройки» необходимо перейти на вкладку «Активация» и нажать кнопку «Открыть» 
        3. После нажатия кнопки «Открыть», откроется окно выбора файла (рисунок 8), здесь необходимо выбрать файл-лицензию, выданную продавцом. 
        При соблюдении всех шагов данной инструкции, активация завершится успешно, и вы сможете приступить к работе. 
        ","Для активации лицензии Дозор необходимо выполнить следующие шаги:

1. Деактивировать лицензию на старом рабочем месте, выбрав в подменю ""Настройки"" команду ""Деактивировать лицензию"" (см. Рис. 18).
2. После деактивации, активировать лицензию на новом рабочем месте в соответствии с параграфом ""3.3 Активация программных компонент"". 

При переносе лицензии на новое рабочее место, необходимо учитывать, что этот процесс может быть выполнен не ранее, чем через 3 рабочих дня после активации на предыдущем рабочем месте."
"что такое сзд, в скан-архив",['\n        •\t«Скан-Загрузка документов» (СЗД) — программный продукт «Скан-Загрузка документов».\n                    '],"
             СЗД - программный продукт «Скан-Загрузка документов».
        ","СЗД - это система загрузки документов, а Скан-Архив (СА) - это дополнительный программный продукт, который позволяет автоматизировать прикрепление и хранение сканов, обработанных в СЗД. При установке флажка ""Использовать СЗД совместно с СА"", СЗД переносит обработанные сканы в скан-архив, где они хранятся и могут быть использованы дальше с помощью функций СА."
"что такое БРС, в скан-архив","['\n        •\tБаза регистрации сканов (БРС) — информационная база 1С, предназначенная для хранения информации об обработанных сканах. Используется в случае если СЗД работает без СА, и есть необходимость хранить обработанные сканы с привязкой к созданным документам\n                    ']","
             БРС - информационная база 1С, предназначенная для хранения информации об обработанных сканах. Используется в случае если СЗД работает без СА, и есть необходимость хранить обработанные сканы с привязкой к созданным документам
        ","БРС - это база регистрации сканов, которая используется для сохранения и работы с обработанными сканами документов в рамках программного продукта ""Скан-Загрузка документов"" в информационной базе 1С:Предприятие."
"Нужно ли покупать несколько лицензий для разных рабочих мест , в скан-архив ","['\n        \n       Для работы в терминальном режиме с N рабочих мест, также необходимо приобрести N лицензий на рабочие места.\n       Приобретаемая лицензия не накладывает ограничений на режим работы с СЗД. Например, вы можете установить и активировать СЗД для работы в локальном режиме, а затем выполнить переактивацию и перенести СЗД на другое рабочее место для работы в локальном или терминальном режиме. В пределах срока действия лицензии вы можете переносить СЗД с одного рабочего места на другое рабочее место (с изменением или с сохранением режима работы) неограниченное число раз, при этом:\n\n        •\tПри таком переносе вы теряете право использования СЗД на старом рабочем месте.\n        •\tПроцедура переноса требует деактивации СЗД на старом рабочем месте и активации на новом.\n        \n        •\tПеренос лицензии на новое рабочее место возможен не ранее чем через 3 рабочих дня после активации на предыдущем рабочем месте.\n        Порядок действий при активации «Скан-Загрузки документов» для разных вариантов лицензирования описан в настоящем «Руководстве» в параграфе «Активация программных компонент» на стр. 15.\n\n                    ']","
        Для работы в терминальном режиме с N рабочих мест, также необходимо приобрести N лицензий на рабочие места.
        ","Да, для каждого рабочего места необходимо приобретать отдельную лицензию на использование СЗД."
как установть скан-архив в  меню «Сервис» ,"['\n        Запуск обработки пользователем выполняется стандартным способом, через список дополнительных отчётов:\n\n        •\tВ обычном режиме – через меню «Сервис» / «Дополнительные отчеты и обработки» /\n        «Дополнительные внешние обработки».\n        \n        •\tВ управляемом режиме — через команду «Дополнительные отчёты» в подразделе «Отчеты» в тех разделах, в которых администратор разместил отчёт. При первом запуске необходимо нажать гиперссылку «Настроить список» в нижней части окна со списком дополнительных отчётов и добавить отчёт «Подсчет количества документов» в список».\n\n        ']","
        Запуск обработки пользователем выполняется стандартным способом, через список дополнительных отчётов:

        •	В обычном режиме – через меню «Сервис» / «Дополнительные отчеты и обработки» /
        «Дополнительные внешние обработки».

        ","Для установки скан-архива в меню ""Сервис"" необходимо выбрать команду ""Настройка"" или ""Настройка от имени пользователя"" из главного окна Менеджера."
Что означает не исправлять суммы при распознавании в скан архив. ,['\n        Флажок «Не исправлять суммы при распознавании» отключает выполняемый по умолчанию автоматический пересчёт сумм в документе при обработка отсканированного документа. Подробнее см. в «Проверка и дополнение данных» \n        '],"
        Флажок «Не исправлять суммы при распознавании» отключает выполняемый по умолчанию автоматический пересчёт сумм в документе при обработка отсканированного документа.

        ","Флажок ""Не исправлять суммы при распознавании"" означает, что идентифицируемые данные со скана будут перенесены ""как есть"", без автоматического пересчета или исправлений."
